resource_id,resource_volume,topic_name,topic_type,topic_volume,document_mapped_probability
An_Introduction_to_Statistical_Learning_chapter_6-linear-model-selection-regularization.txt,22.579938888549805,table,Generic,419.91754150390625,0.0001526741099734312
An_Introduction_to_Statistical_Learning_chapter_7-moving-beyond-linearity.txt,131.3353271484375,scheme,Relevant,435.79583740234375,0.00019552318156186818
An_Introduction_to_Statistical_Learning_chapter_7-moving-beyond-linearity.txt,131.3353271484375,converge,Marker,494.2204895019531,0.00010367687146756551
An_Introduction_to_Statistical_Learning_chapter_7-moving-beyond-linearity.txt,131.3353271484375,count,Marker,503.5558776855469,9.404550237921836e-05
An_Introduction_to_Statistical_Learning_chapter_7-moving-beyond-linearity.txt,131.3353271484375,play,Marker,449.36627197265625,9.343621076971577e-05
An_Introduction_to_Statistical_Learning_chapter_7-moving-beyond-linearity.txt,131.3353271484375,score,Generic,456.29754638671875,0.0001764396187953853
An_Introduction_to_Statistical_Learning_chapter_7-moving-beyond-linearity.txt,131.3353271484375,table,Generic,419.91754150390625,0.00014606894274058106
An_Introduction_to_Statistical_Learning_chapter_8-tree-based-methods.txt,150.50955200195312,scheme,Relevant,435.79583740234375,0.0001820344369194588
An_Introduction_to_Statistical_Learning_chapter_8-tree-based-methods.txt,150.50955200195312,converge,Marker,494.2204895019531,9.652441602274974e-05
An_Introduction_to_Statistical_Learning_chapter_8-tree-based-methods.txt,150.50955200195312,count,Marker,503.5558776855469,8.755749540108427e-05
An_Introduction_to_Statistical_Learning_chapter_8-tree-based-methods.txt,150.50955200195312,play,Marker,449.36627197265625,8.699023757431626e-05
An_Introduction_to_Statistical_Learning_chapter_8-tree-based-methods.txt,150.50955200195312,score,Generic,456.29754638671875,0.00016426741014102716
An_Introduction_to_Statistical_Learning_chapter_8-tree-based-methods.txt,150.50955200195312,table,Generic,419.91754150390625,0.00013599194494893574
An_Introduction_to_Statistical_Learning_chapter_9-support-vector-machines.txt,158.40438842773438,scheme,Relevant,435.79583740234375,0.0069408433030254835
An_Introduction_to_Statistical_Learning_chapter_9-support-vector-machines.txt,158.40438842773438,converge,Marker,494.2204895019531,0.0036804071683775555
An_Introduction_to_Statistical_Learning_chapter_9-support-vector-machines.txt,158.40438842773438,count,Marker,503.5558776855469,0.0033385048778061016
An_Introduction_to_Statistical_Learning_chapter_9-support-vector-machines.txt,158.40438842773438,play,Marker,449.36627197265625,0.003316875741283139
An_Introduction_to_Statistical_Learning_chapter_9-support-vector-machines.txt,158.40438842773438,score,Generic,456.29754638671875,0.006263399238503154
An_Introduction_to_Statistical_Learning_chapter_9-support-vector-machines.txt,158.40438842773438,table,Generic,419.91754150390625,0.005185275908985612
A_Course_in_Machine_Learning_ciml-v0_99-ch01-decision-trees.txt,401.43292236328125,scheme,Relevant,435.79583740234375,0.000191261901613304
A_Course_in_Machine_Learning_ciml-v0_99-ch01-decision-trees.txt,401.43292236328125,converge,Marker,494.2204895019531,0.00010141731242200647
A_Course_in_Machine_Learning_ciml-v0_99-ch01-decision-trees.txt,401.43292236328125,count,Marker,503.5558776855469,9.199585174270599e-05
A_Course_in_Machine_Learning_ciml-v0_99-ch01-decision-trees.txt,401.43292236328125,play,Marker,449.36627197265625,9.139983918327645e-05
A_Course_in_Machine_Learning_ciml-v0_99-ch01-decision-trees.txt,401.43292236328125,score,Generic,456.29754638671875,0.00017259425067228537
A_Course_in_Machine_Learning_ciml-v0_99-ch01-decision-trees.txt,401.43292236328125,table,Generic,419.91754150390625,0.00014288548054527378
A_Course_in_Machine_Learning_ciml-v0_99-ch02-limits-of-learning.txt,469.1295166015625,scheme,Relevant,435.79583740234375,0.00012669147933238816
A_Course_in_Machine_Learning_ciml-v0_99-ch02-limits-of-learning.txt,469.1295166015625,converge,Marker,494.2204895019531,6.717861336878626e-05
A_Course_in_Machine_Learning_ciml-v0_99-ch02-limits-of-learning.txt,469.1295166015625,count,Marker,503.5558776855469,6.0937857730238956e-05
A_Course_in_Machine_Learning_ciml-v0_99-ch02-limits-of-learning.txt,469.1295166015625,play,Marker,449.36627197265625,6.0543060270745554e-05
